Video Number,Age of Child,Corpus Number,Machine Intelligence Answer,MIA_anger,MIA_contempt,MIA_disgust,MIA_fear,MIA_happiness,MIA_neutral,MIA_sadness,MIA_surprise,Kefan Answer,FaceID,bald,haircolor,Age according to Face API
52,4,52,"        ""anger"": 0.0,
        ""contempt"": 0.001,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.002,
        ""neutral"": 0.992,
        ""sadness"": 0.003,
        ""surprise"": 0.002",0,0.001,0,0,0.002,0.992,0.003,0.002,Neutral,2e995d9a-4bd2-47a5-8ed8-c3670c8852e1,0.08,brown,4
53,4,53,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 1.0,
        ""neutral"": 0.0,
        ""sadness"": 0.0,
        ""surprise"": 0.0",0,0,0,0,1,0,0,0,Happiness,4f55256c-ac76-418f-8fe6-6afccd09930f,0.03,brown,4
54,6,54,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.0,
        ""neutral"": 0.998,
        ""sadness"": 0.002,
        ""surprise"": 0.0",0,0,0,0,0,0.998,0.002,0,Neutral,74c42c9a-904f-40c0-852b-bf03c409627d,0.04,black,6
55,8,55,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.002,
        ""neutral"": 0.644,
        ""sadness"": 0.004,
        ""surprise"": 0.349",0,0,0,0,0.002,0.644,0.004,0.349,Neutral,8c51880d-6e25-471f-993d-37f6546d5a6c,0.07,brown,8
56,8,56,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.001,
        ""neutral"": 0.993,
        ""sadness"": 0.005,
        ""surprise"": 0.0",0,0,0,0,0.001,0.993,0.005,0,Neutral,61957418-becd-458e-8235-908b64f83cd1,0.2,brown,8
57,9,57,"        ""anger"": 0.136,
        ""contempt"": 0.0,
        ""disgust"": 0.034,
        ""fear"": 0.005,
        ""happiness"": 0.634,
        ""neutral"": 0.076,
        ""sadness"": 0.066,
        ""surprise"": 0.049",0.136,0,0.034,0.005,0.634,0.076,0.066,0.049,Sadness,0d071fff-f814-4dfb-8e88-7be6cbbf3878,0.18,brown,9
58,6,58,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.667,
        ""neutral"": 0.332,
        ""sadness"": 0.0,
        ""surprise"": 0.001",0,0,0,0,0.667,0.332,0,0.001,Neutral,8a909d8f-ffa3-40fb-b924-654c311b93ce,0.14,blond,6
59,10,59,"        ""anger"": 0.0,
        ""contempt"": 0.012,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.426,
        ""neutral"": 0.562,
        ""sadness"": 0.0,
        ""surprise"": 0.0",0,0.012,0,0,0.426,0.562,0,0,Sadness,3a771dae-9576-4d5e-b093-926d7045889e,0.18,brown,10
60,8,60,"        ""anger"": 0.001,
        ""contempt"": 0.0,
        ""disgust"": 0.001,
        ""fear"": 0.001,
        ""happiness"": 0.003,
        ""neutral"": 0.596,
        ""sadness"": 0.005,
        ""surprise"": 0.394",0.001,0,0.001,0.001,0.003,0.596,0.005,0.394,Neutral,c3d12074-3921-4502-aa59-e223ee116991,0.01,brown,8
61,2,61,"        ""anger"": 0.0,
        ""contempt"": 0.0,
        ""disgust"": 0.0,
        ""fear"": 0.0,
        ""happiness"": 0.003,
        ""neutral"": 0.995,
        ""sadness"": 0.002,
        ""surprise"": 0.0",0,0,0,0,0.003,0.995,0.002,0,Sadness,d6adb078-047b-477e-8cf0-a5ba131476ec,0.07,brown,2
